"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENE","GENENAME"
"ENSG00000232164.1",220.900267835986,6.98960480602816,1.28366581327271,5.44503462954129,5.1795307985183e-08,1.05564017204601e-05,"ENSG00000232164","AC092669.3"
"ENSG00000264247.1",47.3774628440609,9.37336332914949,1.72682141798228,5.42810231071948,5.69563892061043e-08,1.14696726873949e-05,"ENSG00000264247","LINC00909"
"ENSG00000204272.12",87.659446773864,9.62001509366534,1.77271543769026,5.42671141071554,5.74018259219016e-08,1.14696726873949e-05,"ENSG00000204272","LINC01420"
"ENSG00000261824.6",32.6836843317712,8.73317338634045,1.61024827487656,5.42349494956602,5.84448673934291e-08,1.15647072072377e-05,"ENSG00000261824","LINC00662"
"ENSG00000276672.1",36.1195114862594,9.62027767752594,1.77465536007393,5.42092729324367,5.92906726241847e-08,1.1619261526476e-05,"ENSG00000276672","RP11-142E9.1"
"ENSG00000281026.1",48.4316337455563,8.73338785110231,1.61840623744563,5.39628904599776,6.80333155127669e-08,1.32055905091972e-05,"ENSG00000281026","N4BP2L2-IT2"
"ENSG00000274281.1",184.814686296383,7.31106098782045,1.35559942130237,5.39323112191687,6.9201847505628e-08,1.33056873020019e-05,"ENSG00000274281","RP11-326N17.2"
"ENSG00000283341.1",38.4453452661371,10.8837717378569,2.01937451884341,5.38967469198854,7.05853370818085e-08,1.34448575239658e-05,"ENSG00000283341","RP11-472I20.4"
"ENSG00000180385.8",28.086998378766,5.625002225136,1.04456017254529,5.38504374662257,7.24270307079796e-08,1.35865868389795e-05,"ENSG00000180385","EMC3-AS1"
"ENSG00000279442.1",54.0688184683796,6.68733293262564,1.2419692210292,5.38445946920001,7.26626743265183e-08,1.35865868389795e-05,"ENSG00000279442","LA16c-60D12.2"
"ENSG00000260822.1",78.039627490064,7.93456439966518,1.475416839607,5.37784589864021,7.53822931574966e-08,1.3806675951423e-05,"ENSG00000260822","GS1-358P8.4"
"ENSG00000177822.7",94.1808861707082,9.37527841211375,1.74350409662982,5.37726204959086,7.56270630859601e-08,1.3806675951423e-05,"ENSG00000177822","AC108142.1"
"ENSG00000203875.10",311.844901898212,7.68520206428436,1.42935839034733,5.37667957608369,7.58720232844009e-08,1.3806675951423e-05,"ENSG00000203875","SNHG5"
"ENSG00000204695.4",69.5565682450359,7.10318751050425,1.32242785428763,5.37132327292864,7.8160945148646e-08,1.40973294077394e-05,"ENSG00000204695","OR14J1"
"ENSG00000274956.2",26.2892402653582,9.16666603487666,1.70777385947812,5.36761116467604,7.97863323337829e-08,1.42642564850424e-05,"ENSG00000274956","UG0898H09"
"ENSG00000273015.2",64.7626807488531,8.50154138945923,1.58481406266448,5.36437780919608,8.12287250482261e-08,1.43958490887643e-05,"ENSG00000273015","RP11-352M15.2"
"ENSG00000242125.3",130.406263016007,6.79886440527346,1.26948478524932,5.35560920798131,8.52686258230795e-08,1.4981550542243e-05,"ENSG00000242125","SNHG3"
"ENSG00000269486.2",69.6412172236502,10.5689773268685,1.97692095513537,5.34618103946639,8.98293621775605e-08,1.56479677824005e-05,"ENSG00000269486","CTC-360G5.9"
"ENSG00000232098.3",66.3157905418118,7.06118276764462,1.32148700124346,5.34336150185385,9.12385468250987e-08,1.5758752735952e-05,"ENSG00000232098","CTD-2619J13.14"
"ENSG00000225684.3",31.8876250993178,10.6162948767774,1.98792559408844,5.34038844730779,9.27476342525737e-08,1.58847859974933e-05,"ENSG00000225684","FAM225B"
"ENSG00000231528.2",69.307876168573,10.1687016284333,1.90498417568466,5.33794545814464,9.40057265542847e-08,1.59660892741906e-05,"ENSG00000231528","FAM225A"
"ENSG00000241956.9",100.747439322531,7.02530777762956,1.32110619549826,5.31774644730959,1.05060331739946e-07,1.76961538941475e-05,"ENSG00000241956","CTC-340A15.2"
"ENSG00000198865.9",19.7450292785403,7.11348812040559,1.33841461072397,5.31486137659376,1.06738552951306e-07,1.78314626860702e-05,"ENSG00000198865","CCDC152"
"ENSG00000170846.16",76.7532293396914,9.08904769979101,1.71115052405954,5.31165877694272,1.08631864412611e-07,1.80002116145807e-05,"ENSG00000170846","AC093323.3"
"ENSG00000172965.14",39.0129297468628,8.06176150005547,1.51919212553286,5.30661090494251,1.11682220880258e-07,1.8356414062585e-05,"ENSG00000172965","MIR4435-2HG"
"ENSG00000233251.7",315.755544642457,6.50167496390694,1.22710155854608,5.29840005387197,1.16821792727852e-07,1.90285297725169e-05,"ENSG00000233251","AC007743.1"
"ENSG00000279278.1",22.9460697677706,9.02383677238642,1.70398281111255,5.29573227707306,1.18540405976271e-07,1.90285297725169e-05,"ENSG00000279278","CH17-264L24.1"
"ENSG00000214194.8",55.1542333182253,10.2350788857517,1.93272120488424,5.29568302965079,1.18572360586313e-07,1.90285297725169e-05,"ENSG00000214194","LINC00998"
"ENSG00000012817.15",540.35394139616,-9.78765699173338,1.84959700141733,-5.29177814639252,1.21132783620259e-07,1.91762531136763e-05,"ENSG00000012817","KDM5D"
"ENSG00000279912.1",269.406770503497,6.72535742829337,1.27099451344677,5.29141342243493,1.21374645584821e-07,1.91762531136763e-05,"ENSG00000279912","RP11-624A21.1"
"ENSG00000267745.1",63.8233807991422,9.87974481596682,1.86819661221054,5.28838600358911,1.2340035590265e-07,1.93463281050147e-05,"ENSG00000267745","RP11-686D22.8"
"ENSG00000257151.1",70.1141033377713,9.28168305961326,1.75801470686554,5.27963902882365,1.29438633395919e-07,2.01380823453605e-05,"ENSG00000257151","PWAR6"
"ENSG00000196810.4",85.6168589730584,9.94133045568698,1.88843162933017,5.26433168206,1.40700235323021e-07,2.17243295160491e-05,"ENSG00000196810","CTBP1-AS2"
"ENSG00000165246.13",396.264277901935,-10.3772551581123,1.97786024471279,-5.24670799458795,1.54841020307825e-07,2.3727931089427e-05,"ENSG00000165246","NLGN4Y"
"ENSG00000114374.12",805.774439424943,-7.79266557946122,1.4875368335309,-5.23863705678072,1.61766817540398e-07,2.4604250061872e-05,"ENSG00000114374","USP9Y"
"ENSG00000240225.10",81.0911351038721,8.86444704709605,1.69461664994021,5.2309453276107,1.6864538557372e-07,2.53394008744362e-05,"ENSG00000240225","ZNF542P"
"ENSG00000239665.8",60.4980507049376,4.85322878352652,0.928076830791051,5.229339449612,1.70116761520579e-07,2.53394008744362e-05,"ENSG00000239665","RP11-295P9.3"
"ENSG00000249731.1",55.0318688367691,6.47879418885727,1.2389865613422,5.22910771674453,1.70330107443097e-07,2.53394008744362e-05,"ENSG00000249731","RP11-259O2.3"
"ENSG00000234741.7",678.764801191419,7.90451625079502,1.51223471302916,5.22704325108466,1.72242219999708e-07,2.54381788827105e-05,"ENSG00000234741","GAS5"
"ENSG00000266074.8",209.157222907049,6.08725913515714,1.16783341306091,5.21243789317718,1.86374974106088e-07,2.73273981816992e-05,"ENSG00000266074","BAHCC1"
"ENSG00000267575.6",22.1723101143461,8.97284411286477,1.7223063833504,5.20978392671919,1.89060680335659e-07,2.7523183756579e-05,"ENSG00000267575","CTC-459F4.3"
"ENSG00000168930.13",799.829670680386,-9.15279932928204,1.7597247366261,-5.20126764077353,1.97933823129348e-07,2.86105620510585e-05,"ENSG00000168930","TRIM49"
"ENSG00000241860.6",81.3269732477374,7.16145827620094,1.37845963423999,5.19526150662322,2.04432264337446e-07,2.93417885877569e-05,"ENSG00000241860","RP11-34P13.13"
"ENSG00000276291.5",60.1409694189527,4.96655688998391,0.956866546070581,5.19043842673705,2.09799492953061e-07,2.99015626984359e-05,"ENSG00000276291","FRG1HP"
"ENSG00000267640.6",27.8300784639558,9.83770419689669,1.89769534110393,5.18402716379854,2.1714528631393e-07,3.0733597780307e-05,"ENSG00000267640","CTD-2554C21.2"
"ENSG00000183878.15",529.270521453911,-8.19134745858875,1.58077653434383,-5.18185036317543,2.19695439405499e-07,3.08800879346446e-05,"ENSG00000183878","UTY"
"ENSG00000228649.8",24.8452040697054,9.67660637973112,1.86894997780404,5.17756306731165,2.24802961423555e-07,3.13815695669416e-05,"ENSG00000228649","AC005682.5"
"ENSG00000244306.10",101.33983385777,7.12814012602656,1.3835292990213,5.15214251773994,2.57527202184212e-07,3.57051830456899e-05,"ENSG00000244306","LINC01296"
"ENSG00000267100.1",56.637739849931,9.00114425437096,1.74892795501823,5.14666383400403,2.65159885488204e-07,3.65150245009127e-05,"ENSG00000267100","ILF3-AS1"
"ENSG00000235501.5",28.2897320868135,8.82117206150563,1.71492615368417,5.14376204628704,2.69290586148662e-07,3.68140561001125e-05,"ENSG00000235501","RP4-639F20.1"
